ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_2132599	0.44676028	4.98e-02	2.06	-4.15487	9.17e-02	154091031	ANKRD22	ankyrin repeat domain 22
ILMN_1702450	0.44676028	4.98e-02	2.06	-4.15487	9.17e-02	NA		
ILMN_3215138	0.44676028	4.98e-02	2.06	-4.15487	9.17e-02	NA		
ILMN_1662052	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	NA		
ILMN_3296923	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	NA		
ILMN_2044572	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	601984579	TBC1D20	TBC1 domain family member 20
ILMN_1806705	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	320202960	ASB6	ankyrin repeat and SOCS box containing 6
ILMN_1678781	0.44676028	4.98e-02	2.06	-4.15487	9.17e-02	289547505	ARHGAP33	Rho GTPase activating protein 33
ILMN_1715157	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	NA		
ILMN_1769644	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	316658919	IQCF6	IQ motif containing F6
ILMN_1688160	0.44676028	4.98e-02	2.06	-4.15487	9.17e-02	321400123	WDR27	WD repeat domain 27
ILMN_2109489	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	221625527	GZMB	granzyme B
ILMN_3199961	0.44676028	4.98e-02	2.06	-4.15487	9.17e-02	211971069	LINC00608	long intergenic non-protein coding RNA 608
ILMN_3297141	0.44676028	4.98e-02	2.06	-4.15487	9.17e-02	NA		
ILMN_3294268	0.44676028	4.98e-02	-2.06	-4.15487	-9.17e-02	NA		
ILMN_2188264	0.44676028	4.99e-02	-2.05	-4.15519	-3.83e-01	197313774	CYR61	cysteine rich angiogenic inducer 61
ILMN_2103547	0.44676028	4.99e-02	-2.05	-4.1557	-2.17e-01	225703131	GOLGA8B	golgin A8 family member B
ILMN_1744487	0.44676028	4.99e-02	-2.05	-4.15622	-1.42e-01	510025460	C1QTNF5	C1q and tumor necrosis factor related protein 5
ILMN_3263329	0.44676028	4.99e-02	-2.05	-4.15622	-1.42e-01	77812667	GAR1	GAR1 ribonucleoprotein
ILMN_1733875	0.44676028	4.99e-02	-2.05	-4.15622	-1.42e-01	1008909318	RUNDC1	RUN domain containing 1
ILMN_2128750	0.44676028	4.99e-02	-2.05	-4.15656	-3.33e-01	315709512	PTTG1IP	pituitary tumor-transforming 1 interacting protein
ILMN_3298582	0.44676028	4.99e-02	-2.05	-4.15667	-3.67e-01	NA		
ILMN_2117171	0.44676028	5.00e-02	-2.05	-4.15674	-2.08e-01	197382802	LMO4	LIM domain only 4
ILMN_2067852	0.44676028	5.00e-02	2.05	-4.15767	1.33e-01	52352802	SLC30A1	solute carrier family 30 member 1
ILMN_1755758	0.44676028	5.00e-02	-2.05	-4.15767	-1.33e-01	295054205	RIF1	replication timing regulatory factor 1
ILMN_2379375	0.44676028	5.00e-02	2.05	-4.15767	1.33e-01	268607509	PPP1R12B	protein phosphatase 1 regulatory subunit 12B
ILMN_1789508	0.44676028	5.00e-02	2.05	-4.15767	1.33e-01	353677983	GTF3C3	general transcription factor IIIC subunit 3
ILMN_2413259	0.44676028	5.00e-02	-2.05	-4.15767	-1.33e-01	40807478	SOCS4	suppressor of cytokine signaling 4
ILMN_1805863	0.44676028	5.00e-02	-2.05	-4.15805	-1.00e-01	255759953	WDR81	WD repeat domain 81
ILMN_1716719	0.44676028	5.00e-02	2.05	-4.15805	1.00e-01	NA		
ILMN_2262198	0.44676028	5.00e-02	2.05	-4.15805	1.00e-01	58652123	PMS2CL	PMS2 C-terminal like pseudogene
ILMN_1728555	0.44676028	5.00e-02	2.05	-4.15805	1.00e-01	NA		
ILMN_2042771	0.44676028	5.00e-02	-2.05	-4.15805	-1.00e-01	538260590	PTTG1	pituitary tumor-transforming 1
ILMN_3203615	0.44676028	5.00e-02	2.05	-4.15805	1.00e-01	NA		
ILMN_1704091	0.44676028	5.00e-02	2.05	-4.15805	1.00e-01	525342626	DGAT1	diacylglycerol O-acyltransferase 1
ILMN_3244640	0.44676028	5.00e-02	-2.05	-4.15805	-1.00e-01	77993296	SNORD96A	small nucleolar RNA, C/D box 96A
ILMN_1657868	0.44676028	5.01e-02	2.05	-4.15857	2.67e-01	300795832	SIRT4	sirtuin 4
ILMN_1715968	0.44676028	5.01e-02	-2.05	-4.15881	-1.25e-01	619329019	KMT2B	lysine methyltransferase 2B
ILMN_1729179	0.44676028	5.01e-02	-2.05	-4.15881	-1.25e-01	229577435	SPATA5L1	spermatogenesis associated 5 like 1
ILMN_1686135	0.44676028	5.01e-02	2.05	-4.15881	1.25e-01	948284461	CEP95	centrosomal protein 95
ILMN_1775171	0.44676028	5.01e-02	2.05	-4.15935	1.08e-01	75812910	WIPF2	WAS/WASL interacting protein family member 2
ILMN_1664099	0.44676028	5.01e-02	-2.05	-4.15935	-1.08e-01	109637781	GLIS3	GLIS family zinc finger 3
ILMN_1694533	0.44676028	5.01e-02	2.05	-4.15935	1.08e-01	429836857	RMND1	required for meiotic nuclear division 1 homolog
ILMN_1677292	0.44676028	5.01e-02	-2.05	-4.15935	-1.08e-01	948284346	C5orf30	chromosome 5 open reading frame 30
ILMN_1681160	0.44676028	5.01e-02	-2.05	-4.15935	-1.08e-01	119709841	CCT6P1	chaperonin containing TCP1 subunit 6 pseudogene 1
ILMN_1741689	0.44676028	5.01e-02	-2.05	-4.15946	-1.17e-01	974060732	OPRL1	opioid related nociceptin receptor 1
ILMN_3244611	0.44676028	5.01e-02	2.05	-4.15946	1.17e-01	NA		
ILMN_3307733	0.44676028	5.01e-02	2.05	-4.15946	1.17e-01	134053958	TEFM	transcription elongation factor, mitochondrial
ILMN_1653042	0.44676028	5.01e-02	-2.05	-4.15946	-1.17e-01	218563704	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
ILMN_1800889	0.44676028	5.01e-02	2.05	-4.15946	1.17e-01	189217868	FIG4	FIG4 phosphoinositide 5-phosphatase
ILMN_1905436	0.44676028	5.01e-02	2.05	-4.15946	1.17e-01	21477994		
ILMN_1690706	0.44676028	5.01e-02	-2.05	-4.15946	-1.17e-01	300795258	SNRPB2	small nuclear ribonucleoprotein polypeptide B2
ILMN_1654032	0.44676028	5.01e-02	-2.05	-4.15946	-1.17e-01	425876794	ZER1	zyg-11 related cell cycle regulator
ILMN_1661622	0.44676028	5.01e-02	2.05	-4.15952	1.67e-01	564730681	TBC1D7	TBC1 domain family member 7
ILMN_1671005	0.44676028	5.01e-02	2.05	-4.15952	1.67e-01	116734703	IRF2BP2	interferon regulatory factor 2 binding protein 2
ILMN_1771599	0.44770096	5.02e-02	-2.05	-4.16159	-2.58e-01	62739165	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ILMN_3294642	0.44770096	5.03e-02	-2.05	-4.162	-4.00e-01	NA		
ILMN_1673363	0.44770096	5.04e-02	-2.05	-4.16458	-1.75e-01	336285461	ADGRE5	adhesion G protein-coupled receptor E5
ILMN_1673950	0.44770096	5.05e-02	2.05	-4.1652	1.17e-01	339515664	STBD1	starch binding domain 1
ILMN_1790881	0.44770096	5.05e-02	2.05	-4.1652	1.17e-01	283135105	HNMT	histamine N-methyltransferase
ILMN_1746929	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	NA		
ILMN_1715458	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	748983479	PCDH10	protocadherin 10
ILMN_1785010	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	213972588	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2
ILMN_1810045	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	119393883	NLRP1	NLR family pyrin domain containing 1
ILMN_1808747	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	NA		
ILMN_3185313	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	223671855	CCDC85C	coiled-coil domain containing 85C
ILMN_1713139	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	461496464	DLGAP2	DLG associated protein 2
ILMN_1772274	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	NA		
ILMN_1733583	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	663071045	ART5	ADP-ribosyltransferase 5
ILMN_1702566	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	76880474	CALCA	calcitonin related polypeptide alpha
ILMN_3241041	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	207438650	C12orf73	chromosome 12 open reading frame 73
ILMN_1665492	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	331028403	SORCS1	sortilin related VPS10 domain containing receptor 1
ILMN_2129202	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	170763490	IFNA14	interferon alpha 14
ILMN_1745583	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	67944633	EXOC1	exocyst complex component 1
ILMN_1726745	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	158631210	TMIE	transmembrane inner ear
ILMN_1827517	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	18988830		
ILMN_1699514	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	1007370696	PHF7	PHD finger protein 7
ILMN_1751276	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	219842284	BDNF	brain derived neurotrophic factor
ILMN_1677603	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	224967098	C1S	complement component 1, s subcomponent
ILMN_1700428	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	118402587	HLA-DOB	major histocompatibility complex, class II, DO beta
ILMN_1672478	0.44770096	5.05e-02	2.05	-4.16565	7.50e-02	607344284	PRAMEF8	PRAME family member 8
ILMN_1672325	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	133922597	PYDC2	pyrin domain containing 2
ILMN_1711451	0.44770096	5.05e-02	-2.05	-4.16565	-7.50e-02	258614004	SLC7A2	solute carrier family 7 member 2
ILMN_2095133	0.44776292	5.05e-02	2.05	-4.16608	1.83e-01	306966129	SPTAN1	spectrin alpha, non-erythrocytic 1
ILMN_1789436	0.44776292	5.05e-02	2.05	-4.16608	1.83e-01	NA		
ILMN_1652790	0.44814523	5.06e-02	-2.05	-4.16694	-2.25e-01	241666390	CLK1	CDC like kinase 1
ILMN_1669323	0.4483456	5.07e-02	-2.05	-4.16839	-1.83e-01	521258685	BACE2	beta-site APP-cleaving enzyme 2
ILMN_1695311	0.4483456	5.08e-02	2.05	-4.17001	2.25e-01	207113141	HLA-DMA	major histocompatibility complex, class II, DM alpha
ILMN_1782385	0.4483456	5.08e-02	-2.05	-4.17072	-1.67e-01	306482654	POLR2A	RNA polymerase II subunit A
ILMN_1670948	0.4483456	5.08e-02	2.05	-4.17082	1.33e-01	24308387	TSR2	TSR2, ribosome maturation factor
ILMN_1810832	0.4483456	5.08e-02	-2.05	-4.17082	-1.33e-01	542133045	ZNF343	zinc finger protein 343
ILMN_1744217	0.4483456	5.08e-02	-2.05	-4.17082	-1.33e-01	197276637	HTR7	5-hydroxytryptamine receptor 7
ILMN_1731736	0.4483456	5.09e-02	-2.05	-4.17162	-6.67e-02	987437850	RIN3	Ras and Rab interactor 3
ILMN_1676660	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	NA		
ILMN_1771120	0.4483456	5.09e-02	-2.05	-4.17162	-6.67e-02	141802701	TMEM45B	transmembrane protein 45B
ILMN_2237428	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	148596960	SCD5	stearoyl-CoA desaturase 5
ILMN_3234959	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	NA		
ILMN_1808418	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	261878498	MAGEB4	MAGE family member B4
ILMN_3278683	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	NA		
ILMN_1744539	0.4483456	5.09e-02	-2.05	-4.17162	-6.67e-02	NA		
ILMN_3301662	0.4483456	5.09e-02	-2.05	-4.17162	-6.67e-02	NA		
ILMN_2264788	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	188497694	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta
ILMN_1802537	0.4483456	5.09e-02	-2.05	-4.17162	-6.67e-02	56682936	AKAP14	A-kinase anchoring protein 14
ILMN_1915308	0.4483456	5.09e-02	-2.05	-4.17162	-6.67e-02	NA		
ILMN_3310166	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	262206116	MIR99B	microRNA 99b
ILMN_1703648	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	444909161	TMEM82	transmembrane protein 82
ILMN_1720184	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	134152706	ZNF117	zinc finger protein 117
ILMN_3292585	0.4483456	5.09e-02	2.05	-4.17162	6.67e-02	NA		
ILMN_3307940	0.4483456	5.09e-02	-2.05	-4.17175	-1.42e-01	197209866	DLGAP1-AS1	DLGAP1 antisense RNA 1
ILMN_1706193	0.4483456	5.09e-02	2.04	-4.1726	1.08e-01	311771651	ECT2L	epithelial cell transforming 2 like
ILMN_1714197	0.4483456	5.09e-02	2.04	-4.1726	1.08e-01	253970487	ACSS2	acyl-CoA synthetase short-chain family member 2
ILMN_2087646	0.4483456	5.09e-02	-2.04	-4.1726	-1.08e-01	187826632	HLX	H2.0 like homeobox
ILMN_1666526	0.4483456	5.09e-02	2.04	-4.1726	1.08e-01	24234713	PITX3	paired like homeodomain 3
ILMN_1810147	0.4483456	5.09e-02	2.04	-4.1726	1.08e-01	731441388	ZNF524	zinc finger protein 524
ILMN_1685176	0.4483456	5.09e-02	-2.04	-4.1726	-1.08e-01	210147405	SGMS2	sphingomyelin synthase 2
ILMN_1792910	0.4483456	5.09e-02	-2.04	-4.1726	-1.08e-01	58530884	MNT	MAX network transcriptional repressor
ILMN_1779828	0.4483456	5.09e-02	-2.04	-4.1726	-1.08e-01	197304767	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1
ILMN_3249807	0.4483456	5.09e-02	2.04	-4.1726	1.08e-01	154689645	SKA2	spindle and kinetochore associated complex subunit 2
ILMN_1693124	0.4483456	5.09e-02	-2.04	-4.1726	-1.08e-01	291045258	SDHAF1	succinate dehydrogenase complex assembly factor 1
ILMN_1680624	0.4483456	5.09e-02	2.04	-4.1726	1.08e-01	53759126	CREG1	cellular repressor of E1A stimulated genes 1
ILMN_1795227	0.44953408	5.11e-02	-2.04	-4.17496	-2.67e-01	83267869	DYNLL1	dynein light chain LC8-type 1
ILMN_1774207	0.45082601	5.12e-02	-2.04	-4.17766	-1.58e-01	169646744	ANGPT2	angiopoietin 2
ILMN_1683204	0.45082601	5.12e-02	-2.04	-4.17766	-1.58e-01	968121889	GMEB2	glucocorticoid modulatory element binding protein 2
ILMN_2124187	0.45103903	5.13e-02	-2.04	-4.17821	-2.08e-01	737675428	TSC22D2	TSC22 domain family member 2
ILMN_1723971	0.45137579	5.13e-02	2.04	-4.17942	1.42e-01	NA		
ILMN_1787509	0.45137579	5.13e-02	-2.04	-4.17942	-1.42e-01	156105694	HELZ2	helicase with zinc finger 2
ILMN_1733364	0.45137579	5.13e-02	2.04	-4.17942	1.42e-01	222831589	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
ILMN_2041788	0.45137579	5.13e-02	2.04	-4.17945	3.00e-01	537544620	PLS3	plastin 3
ILMN_1763442	0.45178492	5.14e-02	2.04	-4.18128	1.00e-01	224494691	SHROOM4	shroom family member 4
ILMN_1682273	0.45178492	5.14e-02	2.04	-4.18128	1.00e-01	122937449	SHISA3	shisa family member 3
ILMN_1780365	0.45178492	5.14e-02	2.04	-4.18128	1.00e-01	NA		
ILMN_1656325	0.45178492	5.14e-02	2.04	-4.18128	1.00e-01	NA		
ILMN_1843425	0.45178492	5.14e-02	2.04	-4.18128	1.00e-01	NA		
ILMN_1709434	0.45178492	5.14e-02	2.04	-4.18128	1.00e-01	295789105	VIT	vitrin
ILMN_1740308	0.45178492	5.14e-02	2.04	-4.18128	1.00e-01	256818777	UNC80	unc-80 homolog, NALCN activator
ILMN_1783156	0.45191944	5.15e-02	2.04	-4.18168	2.92e-01	NA		
ILMN_1812031	0.45194712	5.15e-02	2.04	-4.18215	1.50e-01	93141030	PALM	paralemmin
ILMN_1653612	0.45194712	5.15e-02	2.04	-4.18215	1.50e-01	302058313	KCTD9	potassium channel tetramerization domain containing 9
ILMN_1735908	0.45194712	5.15e-02	-2.04	-4.1822	-1.17e-01	548923950	UTP15	UTP15, small subunit processome component
ILMN_1768127	0.45221301	5.15e-02	-2.04	-4.18284	-2.00e-01	237649014	EBNA1BP2	EBNA1 binding protein 2
ILMN_2089329	0.45254075	5.16e-02	2.04	-4.18375	1.92e-01	972781234	SPRY2	sprouty RTK signaling antagonist 2
ILMN_2345292	0.45254075	5.16e-02	2.04	-4.18375	1.92e-01	523498699	FXYD1	FXYD domain containing ion transport regulator 1
ILMN_1796734	0.45259623	5.16e-02	2.04	-4.18401	2.83e-01	365777426	SPARC	secreted protein acidic and cysteine rich
ILMN_1750101	0.45289236	5.17e-02	-2.04	-4.18471	-1.75e-01	5032056	S100A11	S100 calcium binding protein A11
ILMN_1656977	0.45338942	5.17e-02	2.04	-4.18577	2.50e-01	291621697	HIBCH	3-hydroxyisobutyryl-CoA hydrolase
ILMN_2368434	0.45448069	5.19e-02	2.04	-4.18843	1.25e-01	574957025	CUX1	cut like homeobox 1
ILMN_1724666	0.45448069	5.19e-02	2.04	-4.18855	2.00e-01	NA		
ILMN_2407703	0.45448069	5.19e-02	-2.04	-4.18885	-6.67e-02	91984783	SYN1	synapsin I
ILMN_3226446	0.45448069	5.19e-02	2.04	-4.18885	6.67e-02	NA		
ILMN_2131756	0.45448069	5.19e-02	2.04	-4.18885	6.67e-02	296080751	LRRC40	leucine rich repeat containing 40
ILMN_3237795	0.45448069	5.19e-02	-2.04	-4.18885	-6.67e-02	NA		
ILMN_1797047	0.45448069	5.19e-02	2.04	-4.18885	6.67e-02	122937457	TMEM150C	transmembrane protein 150C
ILMN_3265761	0.4550986	5.20e-02	-2.03	-4.19045	-2.00e-01	NA		
ILMN_1779386	0.4550986	5.21e-02	2.03	-4.1916	9.17e-02	224586878	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1
ILMN_1730284	0.4550986	5.21e-02	2.03	-4.1916	9.17e-02	205277360	DSC1	desmocollin 1
ILMN_3243821	0.4550986	5.21e-02	2.03	-4.1916	9.17e-02	NA		
ILMN_1768954	0.4550986	5.21e-02	-2.03	-4.1916	-9.17e-02	531034790	RIBC1	RIB43A domain with coiled-coils 1
ILMN_1730945	0.4550986	5.21e-02	-2.03	-4.1916	-9.17e-02	133908634	TMEM59L	transmembrane protein 59 like
ILMN_1696193	0.4550986	5.21e-02	2.03	-4.1916	9.17e-02	NA		
ILMN_1758055	0.4550986	5.21e-02	2.03	-4.1916	9.17e-02	NA		
ILMN_1665013	0.4550986	5.21e-02	2.03	-4.1916	9.17e-02	NA		
ILMN_2130411	0.4550986	5.21e-02	-2.03	-4.1916	-9.17e-02	32307173	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1
ILMN_1683959	0.4550986	5.21e-02	-2.03	-4.19233	-1.33e-01	300360584	MED13L	mediator complex subunit 13 like
ILMN_1698621	0.4550986	5.21e-02	-2.03	-4.19233	-1.33e-01	240849530	COG5	component of oligomeric golgi complex 5
ILMN_1793349	0.4550986	5.21e-02	-2.03	-4.19233	-1.33e-01	348041368	MOB1B	MOB kinase activator 1B
ILMN_1750969	0.4550986	5.21e-02	-2.03	-4.19233	-1.33e-01	148664227	FAM120AOS	family with sequence similarity 120A opposite strand
ILMN_1720849	0.4550986	5.22e-02	2.03	-4.19275	1.67e-01	1036551487	PYGM	phosphorylase, glycogen, muscle
ILMN_2225735	0.4550986	5.22e-02	2.03	-4.19275	1.67e-01	291045196	CRBN	cereblon
ILMN_1760593	0.4550986	5.22e-02	-2.03	-4.19275	-1.67e-01	401015115	CRY1	cryptochrome circadian clock 1
ILMN_1759453	0.4550986	5.22e-02	2.03	-4.19275	1.67e-01	363498368	UQCRB	ubiquinol-cytochrome c reductase binding protein
ILMN_1721022	0.45539269	5.22e-02	-2.03	-4.19344	-1.83e-01	194239660	SHC1	SHC adaptor protein 1
ILMN_1663220	0.45653679	5.23e-02	2.03	-4.19568	1.83e-01	169636429	MRPL22	mitochondrial ribosomal protein L22
ILMN_2266595	0.45653679	5.24e-02	-2.03	-4.19586	-1.58e-01	542133072	LILRA5	leukocyte immunoglobulin like receptor A5
ILMN_1812312	0.45653679	5.24e-02	2.03	-4.19613	1.92e-01	968121896	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4
ILMN_1733603	0.45653679	5.24e-02	2.03	-4.19613	1.92e-01	297206727	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1
ILMN_1706326	0.45736452	5.25e-02	2.03	-4.1981	1.25e-01	94421449	MRPL33	mitochondrial ribosomal protein L33
ILMN_1728225	0.45736452	5.25e-02	-2.03	-4.1981	-1.25e-01	190194354	KIAA1524	KIAA1524
ILMN_1762764	0.45736452	5.25e-02	-2.03	-4.19856	-1.08e-01	961349539	SH3BGRL2	SH3 domain binding glutamate rich protein like 2
ILMN_2339006	0.45736452	5.25e-02	2.03	-4.19856	1.08e-01	57863272	VWA8	von Willebrand factor A domain containing 8
ILMN_1658885	0.45736452	5.25e-02	2.03	-4.19856	1.08e-01	218931250	DAGLB	diacylglycerol lipase beta
ILMN_1677511	0.45736452	5.25e-02	-2.03	-4.19856	-1.08e-01	574956975	PTGS2	prostaglandin-endoperoxide synthase 2
ILMN_1719759	0.45795968	5.27e-02	-2.03	-4.20076	-3.42e-01	340745336	TNC	tenascin C
ILMN_1746883	0.45795968	5.27e-02	2.03	-4.20207	1.42e-01	1003700744	SAT2	spermidine/spermine N1-acetyltransferase family member 2
ILMN_1658407	0.45795968	5.27e-02	-2.03	-4.20207	-1.42e-01	499589959	SLC43A3	solute carrier family 43 member 3
ILMN_1691578	0.45795968	5.28e-02	2.03	-4.20357	1.67e-01	221139831	GTF3C6	general transcription factor IIIC subunit 6
ILMN_2046611	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	358679301	MCOLN3	mucolipin 3
ILMN_1684850	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	47132584	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta
ILMN_1830015	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	4664360		
ILMN_1770493	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	217272873	CFAP100	cilia and flagella associated protein 100
ILMN_1665920	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	NA		
ILMN_1797895	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	227430361	FFAR2	free fatty acid receptor 2
ILMN_1808625	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	531990804	C17orf51	chromosome 17 open reading frame 51
ILMN_1771757	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	NA		
ILMN_3236950	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	NA		
ILMN_1721741	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	88759336	GPN2	GPN-loop GTPase 2
ILMN_3285055	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	NA		
ILMN_3245255	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	NA		
ILMN_3267748	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	NA		
ILMN_1690993	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	384551666	NEUROG2	neurogenin 2
ILMN_1757477	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	111038142	GLYAT	glycine-N-acyltransferase
ILMN_2382717	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	NA		
ILMN_1730660	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	294345472	LGALS3	lectin, galactoside binding soluble 3
ILMN_3177280	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	NA		
ILMN_1709267	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	189181669	MKRN3	makorin ring finger protein 3
ILMN_2134765	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	89001110	SAPCD1	suppressor APC domain containing 1
ILMN_1802963	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	NA		
ILMN_1806492	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	157384972	TNR	tenascin R
ILMN_1724158	0.45795968	5.29e-02	2.03	-4.20406	8.33e-02	257196118	ZNF93	zinc finger protein 93
ILMN_2221784	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	379642617	LRRC75A	leucine rich repeat containing 75A
ILMN_1786064	0.45795968	5.29e-02	-2.03	-4.20406	-8.33e-02	NA		
ILMN_1790757	0.45814381	5.29e-02	2.03	-4.205	1.33e-01	961652660	ADSL	adenylosuccinate lyase
ILMN_1814327	0.45814381	5.29e-02	2.03	-4.205	1.33e-01	122939142	AGTR1	angiotensin II receptor type 1
ILMN_2301624	0.45814381	5.29e-02	-2.03	-4.205	-1.33e-01	499591025	MACF1	microtubule-actin crosslinking factor 1
ILMN_1739497	0.45814381	5.29e-02	2.03	-4.205	1.33e-01	224922844	GTF2H5	general transcription factor IIH subunit 5
ILMN_1766045	0.45823526	5.31e-02	-2.02	-4.20734	-2.42e-01	331284128	SH3GLB1	SH3 domain containing GRB2 like endophilin B1
ILMN_2038773	0.45823526	5.31e-02	-2.02	-4.20781	-1.58e-01	601984519	UBC	ubiquitin C
ILMN_1654322	0.45823526	5.32e-02	-2.02	-4.20919	-1.33e-01	1036292266	ATP1B3	ATPase Na+/K+ transporting subunit beta 3
ILMN_1656448	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	NA		
ILMN_2189605	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	282847479	FAM122B	family with sequence similarity 122B
ILMN_1654013	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	188528669	HID1	HID1 domain containing
ILMN_1680051	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	NA		
ILMN_1690325	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	197099797	NFYA	nuclear transcription factor Y subunit alpha
ILMN_1832114	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	8600942		
ILMN_1686937	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	87298841	ETNK1	ethanolamine kinase 1
ILMN_1798636	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	55743129	RPL32	ribosomal protein L32
ILMN_1694395	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	NA		
ILMN_1664641	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	397739071	MED4	mediator complex subunit 4
ILMN_1730816	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	9951912	GPR162	G protein-coupled receptor 162
ILMN_3273890	0.45823526	5.32e-02	2.02	-4.20944	9.17e-02	NA		
ILMN_1744034	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	9506746	GPR27	G protein-coupled receptor 27
ILMN_1710092	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	333609259	ZBTB46	zinc finger and BTB domain containing 46
ILMN_1701869	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	313760648	FBXO22	F-box protein 22
ILMN_1789112	0.45823526	5.32e-02	-2.02	-4.20944	-9.17e-02	110556628	TMEM145	transmembrane protein 145
